city,lat,lng,country,population,lat_rad,lng_rad,airport_id,own_airport,Linked
Tokyo,35.6897,139.6922,Japan,37977000.0,0.6229027740490203,2.4380888293544234,"[2279, 2359, 10165]",1.0,False
Jakarta,-6.2146,106.8451,Indonesia,34540000.0,-0.1084652316944396,1.8647987846225933,"[3275, 3900, 6224]",1.0,False
Delhi,28.66,77.23,India,29617000.0,0.5002113636215748,1.3479177813152208,"[3091, 3093]",1.0,False
Mumbai,18.9667,72.8333,India,23355000.0,0.3310313632380085,1.271180890092786,[2997],1.0,False
Manila,14.5958,120.9772,Philippines,23088000.0,0.25474476696258835,2.111450459843684,[2397],1.0,False
Shanghai,31.1667,121.4667,China,22120000.0,0.5439615319813167,2.1199938465321964,"[3391, 3406]",1.0,False
São Paulo,-23.5504,-46.6339,Brazil,22046000.0,-0.41103202016167256,-0.8139150980457835,[2593],0.0,False
Seoul,37.5833,127.0,"Korea, South",21794000.0,0.6559523287647849,2.2165681500327987,"[2378, 3930]",1.0,False
Mexico City,19.4333,-99.1333,Mexico,20996000.0,0.33917506952781395,-1.7302024833672949,[1824],1.0,False
Guangzhou,23.1288,113.259,China,20902000.0,0.4036737120352645,1.9767424575162575,[3370],1.0,False
Beijing,39.905,116.3914,China,19433000.0,0.6964736380083372,2.031413151005728,"[3364, 6341, 10209, 13726]",1.0,False
Cairo,30.0561,31.2394,Egypt,19372000.0,0.5245779053086677,0.5452303863475165,"[1128, 1129, 11810]",1.0,False
New York,40.6943,-73.9249,United States,18713220.0,0.7102495217943284,-1.290232904207556,"[3697, 3797, 3993, 7729, 7767, 8123]",1.0,False
Kolkāta,22.5411,88.3378,India,17560000.0,0.3934164120212938,1.541785463968247,[3043],0.0,False
Moscow,55.7558,37.6178,Russia,17125000.0,0.9731222870834544,0.6565544673567231,"[2985, 2988, 4029, 4360, 8661, 11986]",1.0,False
Bangkok,13.75,100.5167,Thailand,17066000.0,0.2399827721492203,1.7543473682393842,"[3157, 3885]",1.0,False
Buenos Aires,-34.5997,-58.3819,Argentina,16157000.0,-0.603878685202282,-1.0189563785700777,"[2442, 3988]",1.0,False
Shenzhen,22.535,114.054,China,15929000.0,0.3933099469369222,1.9906178250696127,[3374],1.0,False
Dhaka,23.7161,90.3961,Bangladesh,15443000.0,0.4139240307322272,1.5777095759620463,"[3075, 3076]",1.0,False
